Data Analisi;Gran Grup;Llista_Pre;Intervencions_Pre;Derivades_Pre;En llista;Intervencions;IQs derivades i realitzades a UP desti;En baixa temporal;IQs en baixa temporal;Intervencions fora termini;n;Sortides;Dies en llista;Dies en llista (sense BT);ED0-25;ED100+;ED26-50;ED51-75;ED76-100;EE0-25;EE100+;EE26-50;EE51-75;EE76-100
01/08/2018;1;104;61;46;104;61;46;17;17;2;2109;61;118091;92725;2;2;3;3;0;1;1;1;0;1
01/08/2018;2;24;3;2;24;3;2;6;6;0;367;5;23826;15225;0;0;1;0;0;0;0;0;0;0
01/08/2018;3;9;6;0;9;6;0;5;5;0;303;8;11880;11081;0;0;0;0;0;0;0;0;0;0
01/08/2018;4;302;25;1805;302;25;1805;39;46;1;4451;30;995706;945257;2;0;0;1;2;1;0;0;0;0
01/08/2018;5;5026;322;3097;5026;322;3097;156;166;25;25369;400;5714769;5580082;255;416;334;225;200;12;10;1;1;1
01/09/2018;1;124;49;47;124;49;47;18;18;11;2112;60;119073;92914;2;3;1;2;2;7;1;4;0;3
01/09/2018;2;33;11;2;33;11;2;7;8;1;380;12;24745;15529;0;0;0;0;0;0;0;1;0;0
01/09/2018;3;17;5;0;17;5;0;4;4;0;307;6;12080;11154;0;0;0;0;0;0;0;0;0;0
01/09/2018;4;318;20;1863;318;20;1863;43;49;2;4480;34;1000540;949116;0;2;0;0;0;2;0;0;0;0
01/09/2018;5;5140;266;3280;5140;266;3280;113;122;23;25494;398;5775978;5642090;239;435;284;272;181;10;6;2;1;4
01/10/2018;1;117;95;52;117;95;52;8;8;21;2140;114;121685;95557;8;5;10;3;1;14;2;7;1;1
01/10/2018;2;38;14;7;38;14;7;5;6;3;391;15;26377;17097;9;2;3;0;0;1;0;1;1;0
01/10/2018;3;18;12;0;18;12;0;1;1;0;307;13;12275;11246;0;0;0;0;0;0;0;0;0;0
01/10/2018;4;392;40;1907;392;40;1907;36;50;5;4502;44;999585;948727;54;3;0;0;0;5;0;0;0;0
01/10/2018;5;5351;357;3501;5351;357;3501;113;121;25;25759;471;5839166;5705404;279;441;274;285;182;13;7;3;1;1
01/11/2018;1;56;104;52;56;104;52;14;14;26;2130;112;122035;96143;5;5;4;3;3;10;3;8;6;4
01/11/2018;2;37;16;8;37;16;8;6;6;12;401;18;27087;17905;4;0;3;2;1;3;2;5;2;0
01/11/2018;3;15;17;0;15;17;0;0;0;0;305;20;11780;10791;1;0;0;0;0;0;0;0;0;0
01/11/2018;4;594;74;1955;594;74;1955;42;56;15;4672;79;985494;934944;39;3;13;0;0;13;1;1;0;0
01/11/2018;5;5583;434;3778;5583;434;3778;135;141;32;26101;544;5901128;5767366;335;491;196;270;187;18;2;8;3;1
01/12/2018;1;57;47;52;57;47;52;25;25;4;2221;56;124998;98923;3;11;2;2;1;2;1;1;1;0
01/12/2018;2;32;17;8;32;17;8;12;12;9;417;20;28022;18831;1;0;3;1;0;4;0;2;1;2
01/12/2018;3;17;10;0;17;10;0;0;0;0;312;13;11868;10879;0;0;0;0;0;0;0;0;0;0
01/12/2018;4;605;56;1989;605;56;1989;60;72;18;4719;59;991519;941538;18;2;20;0;0;7;0;11;0;0
01/12/2018;5;5565;327;3923;5565;327;3923;142;152;24;26099;414;6006405;5872894;342;506;186;218;234;5;6;5;6;2
01/01/2019;1;42;74;54;42;74;54;12;12;12;2194;80;121664;95883;1;6;2;2;2;5;4;2;1;3
01/01/2019;2;28;22;9;28;22;9;7;7;6;417;23;28419;19152;1;0;3;0;2;2;1;0;3;0
01/01/2019;3;9;14;0;9;14;0;0;0;0;304;16;11514;10525;0;0;0;0;0;0;0;0;0;0
01/01/2019;4;639;40;2026;639;40;2026;28;45;10;4769;51;998687;949318;43;1;22;9;0;4;0;5;1;0
01/01/2019;5;5622;452;4117;5622;452;4117;103;109;36;26294;576;6094131;5960539;326;517;230;202;218;8;9;6;10;3
01/02/2019;1;61;56;54;61;56;54;8;8;5;2180;63;120216;94534;5;7;0;5;1;3;0;2;0;0
01/02/2019;2;36;13;9;36;13;9;3;3;4;422;16;28593;19323;4;1;1;0;0;0;2;0;2;0
01/02/2019;3;11;11;0;11;11;0;1;1;0;302;12;11098;10108;0;0;0;0;0;0;0;0;0;0
01/02/2019;4;647;70;2079;647;70;2079;31;48;15;4788;82;1003955;956263;20;0;28;13;1;4;0;8;3;0
01/02/2019;5;5374;439;4329;5374;439;4329;114;123;55;26216;591;6109912;5975810;341;525;258;146;195;15;20;12;2;6
01/03/2019;1;56;81;54;56;81;54;7;7;7;2167;88;118706;93623;2;4;4;1;4;2;5;1;1;2
01/03/2019;2;38;17;9;38;17;9;2;2;7;425;20;28791;19620;1;0;1;2;0;6;0;1;0;0
01/03/2019;3;8;13;0;8;13;0;1;1;0;305;16;10917;9896;0;0;0;0;0;0;0;0;0;0
01/03/2019;4;539;73;2117;539;73;2117;30;45;14;4811;100;1011950;964364;20;0;17;8;10;5;0;4;3;2
01/03/2019;5;5272;468;4664;5272;468;4664;128;139;52;26127;631;6143423;6008816;379;555;253;128;152;15;14;14;4;5
01/04/2019;1;59;77;54;59;77;54;11;11;6;2189;81;118774;93520;3;4;0;2;1;3;4;1;0;1
01/04/2019;2;42;18;9;42;18;9;2;2;9;440;18;29750;20465;3;0;2;0;0;4;1;2;2;0
01/04/2019;3;8;14;0;8;14;0;1;1;0;308;14;10620;9569;0;0;0;0;0;0;0;0;0;0
01/04/2019;4;401;55;2133;401;55;2133;26;44;11;4850;63;997672;949795;25;4;9;12;3;5;0;2;3;1
01/04/2019;5;5204;394;4907;5204;394;4907;143;173;48;26204;528;6191835;6056064;357;547;216;161;149;23;10;8;5;2
01/05/2019;1;47;82;14;47;82;14;8;8;6;2125;85;90087;65294;7;5;4;0;1;3;1;2;1;1
01/05/2019;2;44;21;8;44;21;8;3;3;12;450;25;29408;20530;3;0;0;1;0;6;0;4;2;0
01/05/2019;3;13;13;0;13;13;0;0;0;0;310;16;10387;9334;0;0;0;0;0;0;0;0;0;0
01/05/2019;4;393;101;1283;393;101;1283;28;42;18;3983;115;477609;432914;30;4;11;6;5;8;2;5;2;1
01/05/2019;5;5145;605;3698;5145;605;3698;160;178;64;24722;741;5208307;5074316;341;545;242;194;109;28;14;12;8;2
01/06/2019;1;49;70;16;49;70;16;9;9;12;2138;75;88831;64460;1;2;0;0;3;4;3;3;3;2
01/06/2019;2;55;13;8;55;13;8;3;3;4;461;16;29925;21244;7;1;5;0;0;2;0;2;0;0
01/06/2019;3;7;13;0;7;13;0;0;0;0;305;14;10240;9187;0;0;0;0;0;0;0;0;0;0
01/06/2019;4;414;82;1276;414;82;1276;28;47;10;3940;90;472553;428374;23;4;19;4;6;4;0;3;1;2
01/06/2019;5;5098;601;3877;5098;601;3877;170;188;45;24486;741;5211116;5075629;320;531;274;201;96;18;14;4;6;3
01/07/2019;1;73;82;18;73;82;18;11;11;6;2189;87;88419;64550;4;3;1;1;0;1;1;3;1;1
01/07/2019;2;57;17;8;57;17;8;6;6;8;476;22;30842;22364;7;0;4;4;0;1;1;2;3;1
01/07/2019;3;7;16;0;7;16;0;0;0;0;317;17;10355;9302;0;0;0;0;0;0;0;0;0;0
01/07/2019;4;492;82;1270;492;82;1270;20;42;15;4012;103;475659;432458;25;5;24;3;4;3;4;5;2;1
01/07/2019;5;5211;565;4015;5211;565;4015;189;218;32;24885;686;5316668;5178623;322;514;280;179;118;10;11;6;2;3
01/08/2019;1;108;45;19;108;45;19;9;9;5;2199;50;88321;64546;14;4;5;1;2;3;1;0;1;0
01/08/2019;2;48;20;8;48;20;8;6;6;11;478;23;31265;23200;11;2;1;1;1;0;2;6;3;0
01/08/2019;3;9;8;0;9;8;0;0;0;0;326;11;10384;9331;0;0;0;0;0;0;0;0;0;0
01/08/2019;4;480;88;1216;480;88;1216;20;46;10;4038;97;477499;435128;25;6;20;13;3;4;0;3;2;1
01/08/2019;5;5386;342;4073;5386;342;4073;153;178;18;25136;431;5420749;5279169;288;497;301;208;157;6;4;4;1;3
01/09/2019;1;118;76;21;118;76;21;9;9;15;2241;85;88663;65361;4;6;7;7;2;2;1;6;9;1
01/09/2019;2;56;20;8;56;20;8;5;5;17;498;25;31551;23940;5;1;8;1;0;2;2;11;2;0
01/09/2019;3;14;12;0;14;12;0;0;0;0;337;12;10380;9327;0;0;0;0;0;0;0;0;0;0
01/09/2019;4;506;93;1228;506;93;1228;21;49;13;4136;105;483433;442509;36;6;21;8;3;1;1;7;2;2
01/09/2019;5;5592;442;4218;5592;442;4218;108;120;22;25428;554;5455865;5315378;312;493;271;248;170;8;3;4;0;7
01/10/2019;1;70;117;23;70;117;23;10;10;23;2220;119;86089;64350;6;5;6;2;2;7;7;4;2;4
01/10/2019;2;45;24;8;45;24;8;5;5;16;499;25;32108;24705;2;0;5;1;1;3;0;6;7;0
01/10/2019;3;25;13;0;25;13;0;0;0;0;348;14;10508;9462;0;0;0;0;0;0;0;0;0;0
01/10/2019;4;505;95;1222;505;95;1222;24;48;28;4122;105;474010;434973;19;5;19;4;6;14;0;11;2;1
01/10/2019;5;5574;613;4405;5574;613;4405;125;134;54;25733;765;5511314;5372238;355;449;282;237;144;13;14;8;7;12
01/11/2019;1;73;85;26;73;85;26;5;5;13;2214;99;83188;63155;5;5;1;2;2;5;3;1;3;1
01/11/2019;2;38;19;8;38;19;8;3;3;10;493;20;32133;25149;13;1;0;0;1;2;1;4;3;0
01/11/2019;3;21;15;0;21;15;0;0;0;0;351;16;11016;9970;0;0;0;0;0;0;0;0;0;0
01/11/2019;4;481;216;1291;481;216;1291;32;63;20;4312;229;476649;438683;17;6;12;4;0;7;2;9;1;1
01/11/2019;5;5561;614;4622;5561;614;4622;157;172;62;25921;762;5528089;5390809;398;402;227;242;157;17;17;7;8;13
01/12/2019;1;70;64;27;70;64;27;12;12;6;2222;65;82679;63296;7;4;1;1;1;4;0;1;1;1
01/12/2019;2;30;24;8;30;24;8;4;4;17;500;25;32312;25619;0;1;2;0;0;5;1;8;3;0
01/12/2019;3;16;9;0;16;9;0;0;0;1;348;9;10873;9967;0;0;0;0;0;1;0;0;0;0
01/12/2019;4;428;64;1329;428;64;1329;72;130;12;4363;71;484634;446443;0;2;1;0;0;4;0;6;2;0
01/12/2019;5;5626;468;4757;5626;468;4757;148;171;40;26287;563;5628956;5490029;382;389;242;212;188;8;14;4;8;6
01/01/2021;1;78;64;48;78;64;48;11;11;7;2195;72;65113;56606;1;10;3;2;1;5;3;2;1;0
01/01/2021;2;28;13;4;28;13;4;7;7;7;536;15;33580;29588;8;0;0;0;1;4;0;2;1;0
01/01/2021;3;15;11;0;15;11;0;0;0;2;315;12;9675;9573;2;0;0;0;0;1;0;1;0;0
01/01/2021;4;522;16;1162;522;16;1162;36;50;12;3723;31;531980;498915;32;43;19;4;28;0;7;1;1;3
01/01/2021;5;5813;269;4548;5813;269;4548;139;160;47;24546;407;6408852;6273590;542;683;456;387;350;6;9;7;5;20
01/02/2021;1;71;90;53;71;90;53;7;7;7;2215;94;65485;57218;3;12;3;1;2;3;0;4;1;0
01/02/2021;2;40;10;4;40;10;4;5;5;6;542;14;33367;29391;2;0;1;2;0;2;0;3;1;0
01/02/2021;3;16;13;0;16;13;0;0;0;1;318;15;9791;9689;0;0;1;0;0;1;0;0;0;0
01/02/2021;4;608;14;1177;608;14;1177;31;48;12;3724;25;534286;502240;36;49;35;3;10;0;8;0;1;3
01/02/2021;5;5890;295;4667;5890;295;4667;137;161;44;24449;423;6404652;6272176;563;710;516;329;382;13;12;9;4;6
01/03/2021;1;82;101;53;82;101;53;5;5;6;2244;107;65265;57483;2;14;3;0;1;6;2;5;2;1
01/03/2021;2;35;27;5;35;27;5;2;2;4;547;28;33482;29579;2;1;0;0;0;1;0;1;0;2
01/03/2021;3;17;15;0;17;15;0;0;0;0;319;17;9969;9867;0;0;0;1;0;0;0;0;0;0
01/03/2021;4;647;34;1169;647;34;1169;32;48;23;3731;43;537917;506892;37;39;21;15;1;4;11;5;2;1
01/03/2021;5;5808;473;4495;5808;473;4495;149;172;105;24339;575;6356287;6224936;514;741;425;330;363;23;34;24;16;8
01/04/2021;1;69;82;57;69;82;57;9;9;5;2243;87;65748;58032;5;11;0;0;0;4;4;4;0;1
01/04/2021;2;31;20;8;31;20;8;1;1;1;551;22;33192;29479;0;0;0;1;0;0;0;1;0;0
01/04/2021;3;17;10;0;17;10;0;0;0;0;315;10;10314;10192;0;1;0;0;0;0;0;0;0;0
01/04/2021;4;655;20;1231;655;20;1231;27;34;15;3754;33;552940;522212;24;30;25;11;7;4;6;1;3;1
01/04/2021;5;5724;410;4607;5724;410;4607;152;172;87;24321;559;6391463;6262608;345;762;399;335;317;20;27;16;11;13
01/05/2021;1;63;81;58;63;81;58;9;9;8;2239;87;65623;58324;1;6;1;1;2;4;3;6;1;0
01/05/2021;2;24;13;8;24;13;8;2;2;2;535;15;32295;28787;0;0;0;0;0;2;0;0;0;0
01/05/2021;3;13;11;0;13;11;0;0;0;0;307;11;10304;10246;0;1;0;0;0;0;0;0;0;0
01/05/2021;4;691;28;1207;691;28;1207;22;34;17;3743;49;559479;530084;41;21;14;13;12;2;6;5;3;1
01/05/2021;5;5473;541;4483;5473;541;4483;172;193;116;24151;721;6389014;6258173;198;760;367;384;244;27;49;18;12;10
01/06/2021;1;72;92;59;72;92;59;8;8;2;2269;93;65468;58160;3;4;1;0;0;3;4;0;1;1
01/06/2021;2;18;13;9;18;13;9;2;2;2;527;16;32155;28648;0;0;1;0;0;1;0;1;0;0
01/06/2021;3;9;13;0;9;13;0;0;0;1;303;14;10038;9980;0;0;0;0;0;1;0;0;0;0
01/06/2021;4;687;37;1198;687;37;1198;37;48;20;3726;46;566799;538036;44;19;16;8;4;6;7;3;2;2
01/06/2021;5;5448;507;4409;5448;507;4409;167;185;78;24006;670;6394132;6261645;217;748;338;328;257;10;37;12;15;4
01/07/2021;1;64;68;59;64;68;59;6;6;3;2241;75;66034;58478;7;5;3;1;1;1;0;3;1;0
01/07/2021;2;26;10;9;26;10;9;7;7;1;527;10;31482;27867;2;0;0;0;0;0;0;0;1;0
01/07/2021;3;11;10;0;11;10;0;0;0;0;297;11;10155;10097;0;0;0;0;0;0;0;0;0;0
01/07/2021;4;699;21;1196;699;21;1196;37;46;10;3653;31;573957;545457;43;19;32;7;2;3;1;1;3;2
01/07/2021;5;5596;375;4367;5596;375;4367;168;185;56;23924;531;6426235;6290867;358;777;241;287;266;15;13;8;8;12
01/08/2021;1;65;77;59;65;77;59;2;2;5;2274;84;67169;59683;8;5;2;2;5;2;2;2;2;1
01/08/2021;2;29;7;9;29;7;9;4;4;4;507;7;30862;27214;1;0;0;1;0;2;0;2;0;0
01/08/2021;3;11;6;0;11;6;0;2;2;0;296;8;10213;10127;0;0;0;0;0;0;0;0;0;0
01/08/2021;4;740;6;1301;740;6;1301;26;34;3;3607;12;600689;572284;120;17;35;14;4;1;0;1;1;0
01/08/2021;5;5784;192;4607;5784;192;4607;135;150;16;24012;301;6556387;6417587;397;823;175;302;300;2;7;4;2;1
01/09/2021;1;69;65;60;69;65;60;9;9;6;2267;66;66211;58885;4;7;5;1;1;4;4;1;2;1
01/09/2021;2;36;12;10;36;12;10;1;1;6;502;14;30288;26593;3;0;6;0;0;3;0;2;0;1
01/09/2021;3;10;9;0;10;9;0;1;1;0;293;9;10410;10286;0;0;0;0;0;0;0;0;0;0
01/09/2021;4;677;16;1308;677;16;1308;24;28;5;3540;31;609460;581370;94;14;50;16;8;0;2;1;2;0
01/09/2021;5;5905;333;4560;5905;333;4560;87;101;26;24096;491;6605597;6469824;424;792;194;286;278;1;10;5;6;4
01/10/2021;1;60;91;60;60;91;60;5;5;11;2220;98;64297;57232;9;6;1;0;2;4;4;1;1;3
01/10/2021;2;33;15;10;33;15;10;4;4;8;494;16;29636;25943;1;0;2;0;3;2;0;5;1;0
01/10/2021;3;16;14;0;16;14;0;0;0;2;300;17;10526;10396;1;0;1;0;0;2;0;0;0;0
01/10/2021;4;626;26;1290;626;26;1290;40;45;12;3452;36;607096;577866;86;7;58;15;6;4;5;2;1;0
01/10/2021;5;5780;449;4475;5780;449;4475;99;115;70;23873;636;6574313;6441181;391;803;305;184;236;10;36;14;8;2
01/11/2021;1;58;83;63;58;83;63;3;3;5;2206;89;63355;56587;1;6;1;4;1;7;2;1;2;0
01/11/2021;2;22;17;12;22;17;12;5;5;10;484;17;29125;25421;1;0;4;0;0;4;0;3;0;3
01/11/2021;3;17;12;0;17;12;0;0;0;1;298;12;10480;10350;0;0;0;1;0;1;0;0;0;0
01/11/2021;4;638;41;1325;638;41;1325;39;43;23;3248;52;607447;577605;136;7;59;32;0;8;3;7;3;2
01/11/2021;5;5655;477;4619;5655;477;4619;128;142;82;23781;701;6551082;6418931;386;796;314;116;226;16;29;16;10;11
01/12/2021;1;56;72;68;56;72;68;7;7;6;2219;74;63747;56931;1;3;1;0;0;1;5;2;1;0
01/12/2021;2;22;7;12;22;7;12;5;5;4;468;9;27997;24222;2;1;1;0;1;2;0;1;1;0
01/12/2021;3;22;9;0;22;9;0;1;1;0;303;9;10501;10369;0;0;0;0;1;0;0;0;0;0
01/12/2021;4;644;21;1269;644;21;1269;34;36;11;3175;32;610119;579555;118;6;105;31;17;5;0;3;3;0
01/12/2021;5;5695;305;4570;5695;305;4570;131;164;30;23692;445;6591280;6457205;334;802;351;153;208;5;19;5;0;1
01/01/2022;1;66;64;69;66;64;69;6;6;2;2191;70;62945;56290;3;3;1;3;1;4;0;3;0;0
01/01/2022;2;29;8;12;29;8;12;2;2;4;465;11;27651;24062;5;1;1;0;1;2;0;1;0;1
01/01/2022;3;20;8;0;20;8;0;0;0;0;300;9;10202;10027;0;0;0;0;0;0;0;0;0;0
01/01/2022;4;631;24;1223;631;24;1223;32;35;15;3029;39;613359;584160;68;6;117;61;11;4;1;3;4;3
01/01/2022;5;5757;316;4522;5757;316;4522;113;132;55;23704;480;6614470;6480118;339;806;306;258;139;6;26;16;3;4
01/02/2022;1;59;75;71;59;75;71;6;6;3;2187;82;62841;56057;1;2;4;1;1;1;1;3;1;2
01/02/2022;2;20;13;15;20;13;15;4;4;8;456;13;27469;23939;3;0;0;0;0;5;2;0;1;0
01/02/2022;3;15;12;0;15;12;0;1;1;1;297;12;10315;10095;0;0;0;0;0;1;0;0;0;0
01/02/2022;4;656;42;1333;656;42;1333;29;32;25;3054;53;633191;603772;39;8;80;67;5;3;2;4;12;4
01/02/2022;5;5759;474;4778;5759;474;4778;127;142;86;23603;676;6548664;6415914;365;794;293;269;101;13;32;26;10;5
01/03/2022;1;47;79;73;47;79;73;8;9;7;2197;87;63328;56387;0;5;2;3;0;6;1;3;0;1
01/03/2022;2;18;17;19;18;17;19;4;4;3;455;18;27049;23419;0;0;1;0;0;1;0;1;0;1
01/03/2022;3;12;14;0;12;14;0;0;0;0;300;15;10688;10466;0;0;0;0;0;0;0;0;0;0
01/03/2022;4;689;70;1409;689;70;1409;24;25;31;3183;88;652130;622029;49;7;27;64;26;2;3;4;18;4
01/03/2022;5;5726;573;5044;5726;573;5044;139;159;90;24172;817;6645332;6509955;367;762;258;259;123;18;35;19;13;5
01/04/2022;1;49;51;80;49;51;80;10;11;3;2223;53;64104;57321;2;4;1;0;0;2;3;0;1;1
01/04/2022;2;25;10;23;25;10;23;3;3;0;465;10;27295;23654;0;0;0;0;1;0;0;0;0;0
01/04/2022;3;13;10;0;13;10;0;1;1;0;314;13;11035;10795;0;0;0;0;0;0;0;0;0;0
01/04/2022;4;698;27;1446;698;27;1446;19;21;13;3326;40;676668;645752;45;11;21;25;31;5;1;0;6;1
01/04/2022;5;5627;438;5248;5627;438;5248;149;169;63;24964;657;6821994;6681833;398;675;245;237;190;14;19;14;7;9
01/05/2022;1;52;58;81;52;58;81;7;8;8;2203;59;63229;56257;4;3;1;0;0;6;1;3;0;0
01/05/2022;2;18;10;27;18;10;27;4;4;4;449;11;25834;22084;2;0;1;0;0;2;0;1;0;1
01/05/2022;3;10;16;0;10;16;0;0;0;0;317;17;10652;10409;0;0;0;0;0;0;0;0;0;0
01/05/2022;4;635;48;1594;635;48;1594;25;25;16;3435;63;702353;670957;49;24;15;16;19;5;5;3;2;1
01/05/2022;5;5449;454;5557;5449;454;5557;184;205;66;25664;768;6966693;6823151;360;635;261;213;201;18;19;10;5;14
01/06/2022;1;45;63;81;45;63;81;7;8;3;2157;65;62050;55357;2;3;2;2;2;4;1;1;0;0
01/06/2022;2;20;6;30;20;6;30;4;4;2;432;7;24305;20821;7;0;2;1;1;1;0;1;0;0
01/06/2022;3;15;10;0;15;10;0;1;1;0;324;11;10510;10258;0;0;0;0;0;0;0;0;0;0
01/06/2022;4;666;15;1600;666;15;1600;20;21;4;3488;24;708045;677474;42;31;30;14;8;0;3;0;0;1
01/06/2022;5;5468;337;5621;5468;337;5621;205;223;45;25890;573;7030204;6884902;367;650;284;190;140;10;14;7;4;10
01/07/2022;1;77;49;86;77;49;86;12;13;3;2456;54;73203;65568;11;19;3;3;3;4;0;0;0;0
01/07/2022;2;31;5;41;31;5;41;5;5;4;496;6;26630;23222;4;1;1;4;6;1;0;1;2;0
01/07/2022;3;19;7;0;19;7;0;1;1;0;321;9;10798;10508;0;0;0;0;0;0;0;0;0;0
01/07/2022;4;719;12;1637;719;12;1637;18;19;5;3583;28;726552;695362;39;35;29;20;9;2;0;1;1;1
01/07/2022;5;5608;292;5835;5608;292;5835;208;227;19;26210;497;7101358;6951300;397;673;326;180;144;4;6;2;2;5
01/08/2022;1;69;74;82;69;74;82;23;24;10;2516;80;74865;65897;1;10;3;4;2;4;2;3;4;0
01/08/2022;2;28;15;39;28;15;39;10;10;9;509;18;27349;23614;2;4;4;1;0;2;3;1;1;2
01/08/2022;3;16;6;0;16;6;0;2;2;0;319;7;11204;10877;0;0;0;0;0;0;0;0;0;0
01/08/2022;4;675;5;1669;675;5;1669;40;48;1;3631;28;748198;716900;80;23;22;17;6;0;1;0;0;0
01/08/2022;5;5591;312;5904;5591;312;5904;168;180;40;26659;572;7203176;7049693;334;615;303;206;151;17;14;3;5;1
01/09/2022;1;72;81;83;72;81;83;18;18;9;2527;89;73689;64327;3;5;2;1;0;2;2;1;4;1
01/09/2022;2;19;18;43;19;18;43;4;4;10;494;18;26961;23024;0;0;0;1;0;2;4;2;1;1
01/09/2022;3;19;9;0;19;9;0;1;1;3;321;9;11577;11198;1;0;0;0;0;3;0;0;0;0
01/09/2022;4;658;13;1739;658;13;1739;30;37;4;3694;34;762956;731190;98;15;40;20;9;1;0;1;0;2
01/09/2022;5;5704;361;6102;5704;361;6102;122;133;69;27282;640;7294501;7139883;328;590;293;209;145;16;22;13;14;4
01/10/2022;1;88;78;79;88;78;79;9;9;4;2506;80;74409;64693;8;7;4;2;1;3;1;3;0;0
01/10/2022;2;14;13;44;14;13;44;3;3;4;480;13;26386;22272;1;0;4;0;0;3;0;1;0;0
01/10/2022;3;13;14;0;13;14;0;1;1;5;317;15;11743;11348;1;0;0;0;0;5;0;0;0;0
01/10/2022;4;658;53;1814;658;53;1814;32;39;25;3759;71;769165;737328;97;16;61;16;7;11;3;7;2;2
01/10/2022;5;5671;420;6018;5671;420;6018;133;158;73;27406;718;7242541;7088748;334;574;275;216;128;19;21;10;15;8
01/11/2022;1;74;108;80;74;108;80;15;15;5;2522;113;74836;64528;3;6;2;2;0;6;2;1;1;1
01/11/2022;2;7;13;53;7;13;53;5;5;5;478;14;25957;21980;0;0;0;1;0;1;0;0;3;1
01/11/2022;3;10;16;0;10;16;0;1;1;0;325;19;11959;11531;0;0;0;0;0;0;0;0;0;0
01/11/2022;4;679;39;1890;679;39;1890;35;60;23;3870;61;791157;758759;73;25;70;28;6;5;1;11;3;3
01/11/2022;5;5701;475;6207;5701;475;6207;151;185;51;28120;783;7341385;7185378;356;580;212;201;138;13;15;11;7;5
01/12/2022;1;66;75;81;66;75;81;14;14;7;2505;83;74761;64119;1;7;4;1;0;3;0;4;1;0
01/12/2022;2;5;15;54;5;15;54;6;6;2;481;17;25780;21656;0;0;0;0;0;0;0;0;1;1
01/12/2022;3;11;9;0;11;9;0;1;1;0;322;9;11695;11218;0;0;0;0;0;0;0;0;0;0
01/12/2022;4;669;20;1664;669;20;1664;69;93;13;3649;35;737210;705756;63;17;48;33;15;5;0;5;3;0
01/12/2022;5;5753;302;5465;5753;302;5465;140;174;29;27508;477;7109715;6957311;336;603;225;204;155;14;5;7;3;0
